RPE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
10,100.0,97.2,94.4,91.7,88.9,86.1,83.3,80.6,77.8,75.0,72.2,69.4,66.7,63.9,61.1
9.5,98.6,95.8,93.1,90.3,87.5,84.7,82.0,79.2,76.4,73.6,70.8,68.0,65.3,62.5,59.7
9,97.2,94.4,91.7,88.9,86.1,83.3,80.6,77.8,75.0,72.2,69.4,66.7,63.9,61.1,58.3
8.5,95.8,93.1,90.3,87.5,84.7,82.0,79.2,76.4,73.6,70.8,68.0,65.3,62.5,59.7,56.9
8,94.4,91.7,88.9,86.1,83.3,80.6,77.8,75.0,72.2,69.4,66.7,63.9,61.1,58.3,55.6
7.5,93.1,90.3,87.5,84.7,82.0,79.2,76.4,73.6,70.8,68.0,65.3,62.5,59.7,56.9,54.2
7,91.7,88.9,86.1,83.3,80.6,77.8,75.0,72.2,69.4,66.7,63.9,61.1,58.3,55.6,52.8
6.5,90.3,87.5,84.7,82.0,79.2,76.4,73.6,70.8,68.0,65.3,62.5,59.7,56.9,54.2,48.6
6,88.9,86.1,83.3,80.6,77.8,75.0,72.2,69.4,66.7,63.9,61.1,58.3,55.6,52.8,47.2
